Title,Link,Author,Level,Date,Duration,Average Rating,No of Users
Architecting Event-driven Serverless Solutions Using Google Cloud Functions,https://www.pluralsight.com/courses/google-cloud-functions-architecting-event-driven-serverless-solutions,Janani Ravi,Beginner,Dec 3 2018,2h 5m,No Reviews Yet.,No Reviews Yet.
Architecting Production-ready ML Models Using Google Cloud ML Engine,https://www.pluralsight.com/courses/google-ml-engine-architecting-production-ready-models,Vitthal Srinivasan,Intermediate,Jan 8 2019,2h 12m,No Reviews Yet.,No Reviews Yet.
Architecting Schemaless Scalable NoSQL Databases Using Google Datastore,https://www.pluralsight.com/courses/google-cloud-platform-datastore-nosql-architecting-schemaless-scalable-databases,Vitthal Srinivasan,Beginner,Jan 9 2019,1h 48m,No Reviews Yet.,No Reviews Yet.
Architecting Serverless Big Data Solutions Using Google Dataflow,https://www.pluralsight.com/courses/google-dataflow-architecting-serverless-big-data-solutions,Janani Ravi,Beginner,Dec 13 2018,2h 15m,No Reviews Yet.,No Reviews Yet.
Architecting Stream Processing Solutions Using Google Cloud Pub/Sub,https://www.pluralsight.com/courses/google-cloud-platform-pubsub-architecting-stream-processing-solutions,Vitthal Srinivasan,Beginner,Jan 7 2019,1h 44m,No Reviews Yet.,No Reviews Yet.
Artist's Guide to Python Scripting in Maya,https://www.pluralsight.com/courses/artists-guide-python-scripting-maya-1405,Delano Athias,Intermediate,Dec 1 2013,1h 53m,4.5/5.0,
Automating Networks with Ansible the Right Way,https://www.pluralsight.com/courses/automating-networks-ansible-right-way,Nick Russo,Intermediate,Mar 26 2019,3h 13m,No Reviews Yet.,No Reviews Yet.
Beginning Data Exploration and Analysis with Apache Spark,https://www.pluralsight.com/courses/apache-spark-beginning-data-exploration-analysis,Swetha Kolalapudi,Beginner,Oct 19 2016,1h 57m,4.5/5.0,82
Blend Shape-based Facial Rigging in Maya,https://www.pluralsight.com/courses/blend-shape-based-facial-rigging-maya-1838,Delano Athias,Intermediate,Oct 29 2014,5h 2m,5.0/5.0,19
Boost Data Science Productivity with PyCharm,https://www.pluralsight.com/courses/pycharm-boost-data-science-productivity,Dan Tofan,Intermediate,Mar 28 2019,2h 33m,No Reviews Yet.,No Reviews Yet.
Building Data Visualizations Using Plotly,https://www.pluralsight.com/courses/plotly-building-data-visualizations,Janani Ravi,Beginner,Aug 9 2018,2h 11m,No Reviews Yet.,No Reviews Yet.
